drug,Blood and lymphatic system disorders,Cardiac disorders,"Congenital, familial and genetic disorders",Ear and labyrinth disorders,Endocrine disorders,Eye disorders,Gastrointestinal disorders,General disorders and administration site conditions,Hepatobiliary disorders,Immune system disorders,Infections and infestations,"Injury, poisoning and procedural complications",Investigations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Nervous system disorders,"Pregnancy, puerperium and perinatal conditions",Product issues,Psychiatric disorders,Renal and urinary disorders,Reproductive system and breast disorders,"Respiratory, thoracic and mediastinal disorders",Skin and subcutaneous tissue disorders,Social circumstances,Surgical and medical procedures,Vascular disorders
levosimendan,0.013123359580052493,0.2992125984251969,0.0026246719160104987,0.0026246719160104987,0.005249343832020997,0.005249343832020997,0.01837270341207349,0.14173228346456693,0.02099737532808399,0.005249343832020997,0.023622047244094488,0.026246719160104987,0.05511811023622047,0.015748031496062992,0.013123359580052493,0.0,0.031496062992125984,0.0026246719160104987,0.0026246719160104987,0.0026246719160104987,0.03412073490813648,0.0,0.05774278215223097,0.03412073490813648,0.0,0.0026246719160104987,0.1837270341207349
levosulpiride,0.004321128041846714,0.01137138958380714,0.0009097111667045713,0.002729133500113714,0.006822833750284285,0.00977939504207414,0.21946781896747783,0.085967705253582,0.00045485558335228563,0.004321128041846714,0.0018194223334091425,0.012508528542187855,0.015465089833977713,0.008187400500341141,0.01682965658403457,0.0018194223334091425,0.33431885376392995,0.00022742779167614282,0.00045485558335228563,0.041619285876734136,0.011598817375483284,0.10734591767113941,0.017511939959062996,0.07391403229474641,0.00022742779167614282,0.00045485558335228563,0.009551967250397999
lidamidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lidoflazine,0.0,0.4090909090909091,0.0,0.045454545454545456,0.0,0.0,0.09090909090909091,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limaprost,0.005990133897110641,0.014094432699083862,0.0,0.0021141649048625794,0.0007047216349541931,0.011980267794221282,0.28893587033121915,0.12367864693446089,0.008456659619450317,0.005990133897110641,0.005990133897110641,0.0102184637068358,0.02255109231853418,0.013389711064129669,0.015151515151515152,0.0024665257223396757,0.23185341789992953,0.00035236081747709656,0.0,0.034178999295278366,0.022198731501057084,0.0066948555320648345,0.027836504580690626,0.11028893587033121,0.0,0.0010570824524312897,0.03382663847780127
linaclotide,0.0009965831435079728,0.006477790432801822,0.00042710706150341686,0.002989749430523918,0.0006406605922551253,0.006691343963553531,0.3339265375854214,0.23049544419134396,0.001494874715261959,0.003701594533029613,0.010179384965831435,0.19953018223234625,0.030466970387243737,0.017155466970387244,0.02171127562642369,0.0017796127562642369,0.04342255125284738,0.0006406605922551253,0.0076879271070615035,0.017155466970387244,0.009752277904328019,0.0026338268792710706,0.01224373576309795,0.026907744874715263,0.0017084282460136675,0.0023490888382687925,0.00683371298405467
linagliptin,0.007047477744807121,0.03152818991097923,0.0006491097922848664,0.005378338278931751,0.0016691394658753709,0.015671364985163205,0.1592173590504451,0.09922106824925817,0.013260385756676558,0.006583827893175074,0.03727744807121662,0.028653560830860535,0.10747403560830861,0.0771513353115727,0.045252225519287835,0.02234792284866469,0.08623887240356083,0.000185459940652819,0.0026891691394658754,0.02234792284866469,0.033939169139465875,0.0051928783382789315,0.04970326409495549,0.11878709198813056,0.001483679525222552,0.0062129080118694365,0.01483679525222552
linsidomine,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
liraglutide,0.0033913076427570005,0.013735743245803494,0.0006062672880906369,0.0027660945019135313,0.004243871016634458,0.010628623394338978,0.2720434996779205,0.14690614224546247,0.012163237467318405,0.0062900231139403585,0.020196279034519343,0.04634155583342806,0.13065060058353226,0.0665946724262059,0.024838012958963283,0.03228373309082642,0.0721458072827858,0.001307263839945436,0.013262096926982684,0.019608957599181537,0.018737448372551247,0.004603842218938274,0.019571065893675875,0.03908529422909325,0.0011746428706756091,0.00755939524838013,0.009264521996135045
liranaftate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0
